,R03_sales,R06_sales,N02BE_sales,resp_index,flu_index,flu_lag_2,R03_log,R03_log_diff
2017-05-29,44.0,26.0,137.4,70.0,777.0,1102.0,3.8066624897703196,0.6286086594223739
2017-06-05,37.0,38.7,122.95,75.7,630.0,929.0,3.6375861597263857,-0.16907633004393396
2017-06-12,40.0,44.37,96.45,84.37,522.0,777.0,3.713572066704308,0.07598590697792229
2017-06-19,23.0,34.83,128.0,57.83,410.6666666666667,630.0,3.1780538303479458,-0.5355182363563622
2017-06-26,39.0,31.0,95.5,70.0,332.0,522.0,3.6888794541139363,0.5108256237659905
2017-07-03,37.0,20.0,110.6,57.0,265.6666666666667,410.6666666666667,3.6375861597263857,-0.05129329438755059
2017-07-10,25.0,13.0,111.0,38.0,232.66666666666666,332.0,3.258096538021482,-0.3794896217049035
2017-07-17,31.0,25.0,117.0,56.0,204.33333333333334,265.6666666666667,3.4657359027997265,0.2076393647782444
2017-07-24,7.0,13.1,100.75,20.1,197.0,232.66666666666666,2.0794415416798357,-1.3862943611198908
2017-07-31,13.0,17.0,112.912,30.0,187.33333333333334,204.33333333333334,2.639057329615259,0.5596157879354231
2017-08-07,12.0,10.5,103.788,22.5,195.66666666666666,197.0,2.5649493574615367,-0.07410797215372211
2017-08-14,20.0,14.5,115.85,34.5,183.33333333333334,187.33333333333334,3.044522437723423,0.4795730802618863
2017-08-21,23.0,12.0,170.75,35.0,186.0,195.66666666666666,3.1780538303479458,0.13353139262452274
2017-08-28,16.0,14.1,124.4,30.1,207.66666666666666,183.33333333333334,2.833213344056216,-0.3448404862917296
2017-09-04,8.0,21.5,182.7,29.5,267.3333333333333,186.0,2.1972245773362196,-0.6359887667199966
2017-09-11,30.0,18.4,152.95,48.4,324.3333333333333,207.66666666666666,3.4339872044851463,1.2367626271489267
2017-09-18,19.0,18.0,219.75,37.0,349.3333333333333,267.3333333333333,2.995732273553991,-0.4382549309311554
2017-09-25,98.0,4.0,323.05,102.0,364.0,324.3333333333333,4.59511985013459,1.599387576580599
2017-10-02,49.0,12.0,305.15,61.0,408.0,349.3333333333333,3.912023005428146,-0.6830968447064438
2017-10-09,52.0,13.5,222.6,65.5,470.3333333333333,364.0,3.970291913552122,0.058268908123976004
2017-10-16,44.0,10.0,268.9,54.0,541.6666666666666,408.0,3.8066624897703196,-0.16362942378180234
2017-10-23,73.0,12.5,244.8,85.5,621.0,470.3333333333333,4.304065093204169,0.4974026034338497
2017-10-30,35.0,12.2,221.75,47.2,798.3333333333334,541.6666666666666,3.58351893845611,-0.7205461547480594
2017-11-06,51.0,8.5,184.2,59.5,1043.0,621.0,3.9512437185814275,0.3677247801253176
2017-11-13,69.0,8.9,191.1,77.9,1402.6666666666667,798.3333333333334,4.248495242049359,0.2972515234679318
2017-11-20,21.0,7.0,203.624,28.0,1813.0,1043.0,3.091042453358316,-1.1574527886910433
2017-11-27,40.0,17.5,218.825,57.5,2366.3333333333335,1402.6666666666667,3.713572066704308,0.6225296133459919
2017-12-04,64.0,13.0,215.6,77.0,3289.0,1813.0,4.174387269895637,0.46081520319132885
2017-12-11,34.0,12.0,240.0,46.0,4962.0,2366.3333333333335,3.5553480614894135,-0.6190392084062233
2017-12-18,32.0,5.6,168.7,37.6,8654.333333333334,3289.0,3.4965075614664802,-0.058840500022933284
2017-12-25,63.0,11.0,302.08,74.0,13089.666666666666,4962.0,4.1588830833596715,0.6623755218931913
2018-01-01,39.0,16.0,230.2,55.0,17277.666666666668,8654.333333333334,3.6888794541139363,-0.47000362924573524
2018-01-08,44.0,6.0,255.525,50.0,20235.333333333332,13089.666666666666,3.8066624897703196,0.11778303565638337
2018-01-15,75.0,9.5,226.8,84.5,21818.333333333332,17277.666666666668,4.330733340286331,0.5240708505160114
2018-01-22,47.0,13.0,306.5,60.0,23964.333333333332,20235.333333333332,3.8712010109078907,-0.45953232937844035
2018-01-29,34.0,17.4,318.1,51.4,25115.333333333332,21818.333333333332,3.5553480614894135,-0.3158529494184772
2018-02-05,71.25,6.66,366.95,77.91,26222.333333333332,23964.333333333332,4.2801323269925415,0.724784265503128
2018-02-12,48.0,6.0,338.562,54.0,25085.666666666668,25115.333333333332,3.8918202981106265,-0.3883120288819151
2018-02-19,70.0,11.0,229.1,81.0,21699.333333333332,26222.333333333332,4.2626798770413155,0.370859578930689
2018-02-26,68.0,14.5,256.549,82.5,16645.333333333332,25085.666666666668,4.23410650459726,-0.028573372444055778
2018-03-05,68.0,16.4,223.9,84.4,11648.333333333334,21699.333333333332,4.23410650459726,0.0
2018-03-12,61.0,24.0,207.8,85.0,8575.666666666666,16645.333333333332,4.127134385045092,-0.10697211955216801
2018-03-19,58.0,17.5,241.112,75.5,7021.333333333333,11648.333333333334,4.07753744390572,-0.049596941139371964
2018-03-26,51.0,21.1,224.724,72.1,6255.333333333333,8575.666666666666,3.9512437185814275,-0.12629372532429217
2018-04-02,60.0,36.5,209.525,96.5,5349.0,7021.333333333333,4.110873864173311,0.15963014559188382
2018-04-09,52.0,53.5,175.7,105.5,4441.0,6255.333333333333,3.970291913552122,-0.1405819506211894
2018-04-16,28.0,38.7,211.025,66.7,3386.3333333333335,5349.0,3.367295829986474,-0.6029960835656478
2018-04-23,66.0,56.4,155.912,122.4,2581.3333333333335,4441.0,4.204692619390966,0.8373967894044916
2018-04-30,26.0,65.0,136.737,91.0,1882.3333333333333,3386.3333333333335,3.295836866004329,-0.9088557533866366
2018-05-07,31.0,51.0,160.8,82.0,1322.6666666666667,2581.3333333333335,3.4657359027997265,0.16989903679539742
2018-05-14,47.0,39.4,156.8,86.4,858.0,1882.3333333333333,3.8712010109078907,0.40546510810816416
2018-05-21,31.0,37.0,135.786,68.0,531.6666666666666,1322.6666666666667,3.4657359027997265,-0.40546510810816416
2018-05-28,45.0,41.64,143.05,86.64,337.3333333333333,858.0,3.828641396489095,0.36290549368936853
2018-06-04,23.0,24.4,138.45,47.4,236.33333333333334,531.6666666666666,3.1780538303479458,-0.6505875661411493
2018-06-11,16.0,30.4,124.569,46.4,169.66666666666666,337.3333333333333,2.833213344056216,-0.3448404862917296
2018-06-18,29.0,32.6,143.062,61.6,138.66666666666666,236.33333333333334,3.4011973816621555,0.5679840376059393
2018-06-25,31.0,23.4,125.862,54.4,111.0,169.66666666666666,3.4657359027997265,0.06453852113757108
